id;card_type;card_number;secret_code;date_end
1;Garden;Technician Kyrgyz Republic transmit;68557;2020-10-04
2;seamless Roads back-end;deploy TCP Pants;66615;2020-10-03
3;Avon Legacy;Front-line withdrawal Applications;6047;2020-10-03
4;Steel digital bricks-and-clicks;Games;1476;2020-10-03
5;Central Bike Burundi;Cotton;95629;2020-10-03
6;zero defect;Applications Swedish Krona Shoals;46399;2020-10-03
7;Administrator Toys Malta;lavender Interactions;2386;2020-10-03
8;Hong Kong Dollar;Soft Chair;30030;2020-10-03
9;extensible intangible;Communications Response Ergonomic;78533;2020-10-03
10;solution Ridges multi-state;Shirt Dynamic;65730;2020-10-03
